"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_142941_coefficient","contrast_142941_log2fc","contrast_142941_tstat","contrast_142941_pvalue"
"1","1451777_at","234311","Ddx60","DExD/H box helicase 60",0,0,0.0015,4.8494,4.8494,51.537,0
"2","1418293_at","15958","Ifit2","interferon-induced protein with tetratricopeptide repeats 2",0,0,0.0015,5.8639,5.8639,86.2691,0
"3","1419282_at","20293","Ccl12","C-C motif chemokine ligand 12",0,0,0.0015,5.6148,5.6148,56.7131,0
"4","1418825_at","15944","Irgm1","immunity-related GTPase family M member 1",0,0,0.0015,4.3896,4.3896,62.5373,0
"5","1450696_at","16912","Psmb9","proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)",0,0,0.0015,5.0841,5.0841,55.6841,0
"6","1450033_a_at","20846","Stat1","signal transducer and activator of transcription 1",0,0,0.0015,4.8878,4.8878,116.1855,0
"7","1420380_at","20296","Ccl2","C-C motif chemokine ligand 2",0,0,0.0015,4.1391,4.1391,62.8309,0
"8","1425719_a_at","64685","Nmi","N-myc (and STAT) interactor",0,0,0.0015,3.9688,3.9688,47.0066,0
"9","1450783_at","15957","Ifit1","interferon-induced protein with tetratricopeptide repeats 1",0,0,0.0015,6.4107,6.4107,78.1184,0
"10","1417244_a_at","54123","Irf7","interferon regulatory factor 7",0,0,0.0015,4.9031,4.9031,58.0772,0
"11","1451567_a_at","15950","Ifi203","interferon activated gene 203",0,0,0.0015,4.2513,4.2513,56.067,0
"12","1418131_at","56045","Samhd1","SAM domain and HD domain, 1",0,0,0.0015,3.7411,3.7411,51.3631,0
"13","1450034_at","20846","Stat1","signal transducer and activator of transcription 1",0,0,0.0015,4.4693,4.4693,107.5208,0
"14","1419043_a_at","60440","Iigp1","interferon inducible GTPase 1",0,0,0.0015,6.9144,6.9144,67.6977,0
"15","1419042_at","60440","Iigp1","interferon inducible GTPase 1",0,0,0.0015,6.9584,6.9584,57.5405,0
"16","1419603_at","15951","Ifi204","interferon activated gene 204",0,0,0.0015,4.6227,4.6227,54.5215,0
"17","1421911_at","20847","Stat2","signal transducer and activator of transcription 2",0,0,0.0015,2.7928,2.7928,45.3788,0
"18","1426971_at","74153","Uba7","ubiquitin-like modifier activating enzyme 7",0,0,0.0015,3.394,3.394,46.1057,0
"19","1426276_at","71586","Ifih1","interferon induced with helicase C domain 1",0,0,0.0015,4.9027,4.9027,61.6378,0
"20","1418126_at","20304","Ccl5","C-C motif chemokine ligand 5",0,0,0.0015,5.3612,5.3612,78.9723,0
"21","1421217_a_at","16859","Lgals9","lectin, galactose binding, soluble 9",0,0,0.0015,4.4232,4.4232,53.9882,0
"22","1435906_x_at","14469","Gbp2","guanylate binding protein 2",0,0,0.0015,6.6541,6.6541,44.6927,0
